feature,lagged_corr_5,mean,std,min,max
time_to_kickoff,,35.87973273942094,54.89046531111964,0.0,179.0
is_pre_match,,0.3986636971046771,0.4901694272917086,0.0,1.0
arrival_rate,,151.4476614699332,283.2208211394159,0.0,1057.0
completion_rate,,151.4476614699332,282.445376435413,0.0,1070.0
exit_rate,,151.4476614699332,673.6475422692912,0.0,4801.0
net_flow_rate,,0.0,761.5708947160281,-4801.0,1057.0
arrival_rate_lag1,,151.4476614699332,283.2208211394159,0.0,1057.0
arrival_rate_lag5,,151.4476614699332,283.2208211394159,0.0,1057.0
arrival_rate_ma5,,151.85427616926506,280.053471712602,0.0,1034.2
turnstile_utilization,,0.069258574610245,0.13231523868114922,0.0,0.7935
vendor_utilization,,0.09602806236080179,0.180907149912095,0.0,0.7583
parking_utilization,,0.5358336302895322,0.4638054983209351,0.0,1.0
turnstile_queue,,0.0,0.0,0.0,0.0
vendor_queue,,0.0,0.0,0.0,0.0
queue_delta,,0.0,0.0,0.0,0.0
fill_ratio,,0.7710002227171492,0.37050298446231966,0.0,1.0
arrival_progress,,0.7783060133630288,0.36465294445101415,0.0013,1.0
exit_progress,,0.32874053452115815,0.46062159109581724,0.0,1.0
fans_in_stadium,,30073.6859688196,30299.801308751477,0.0,68000.0
